municipality,time,filling-time
224,14785,42634
091,62628,9193
908,24768,83308
092,76219,21380
543,33797,2392
092,73170,20411
153,69089,16789
106,63818,28525
092,3832,12511
092,69117,13915
245,66905,58861
837,57331,1932
092,32516,39082
153,37766,55582
837,2154,76612
908,59321,85487
908,4435,84233
186,86033,3629
858,80060,2071
858,5139,59584
444,81498,75581
444,76547,3949
186,49281,44461
491,61337,19297
543,6864,80349
092,57648,65515
092,59552,13582
543,1482,80152
235,80578,11691
837,68768,8622
491,76552,68668
092,66885,1884
732,53586,32742
186,86175,62119
092,991,83974
186,78474,8560
092,78145,59980
092,81240,62169
092,47462,10786
092,82333,74968
092,44354,7478
422,19724,49764
092,81155,6388
092,81712,68146
444,17416,3994
257,32746,39324
536,79579,13870
257,86252,75908
257,4420,68746
536,77501,60413
092,72505,78409
753,5468,48844
092,65023,7324
186,3865,57436
186,59071,31503
092,53418,5215
092,70064,79738
908,60634,17307
245,5323,2361
908,79367,7774
092,15390,40204
092,59711,49445
092,3162,37278
092,62681,28653
106,78933,2773
092,20326,2515
753,2557,47505
106,1288,77848
092,14612,80519
092,8426,845
092,2331,72800
208,3543,56495
020,82982,13648
092,56101,28954
444,6241,53925
245,71879,10561
245,43421,1389
092,14668,62705
858,67436,68176
245,83283,2172
837,38085,11559
092,14235,41552
837,55444,32473
734,65645,72038
092,13191,68674
092,38222,12779
092,42234,32965
092,84085,65180
536,58008,20772
478,72708,6950
092,64536,6448
092,2407,68603
208,24391,84318
491,73127,75593
790,43647,2907
543,85382,63907
753,81411,26031
186,86364,12347
092,4067,73297
543,43591,45168
297,69558,72666
444,53738,27849
444,49766,35532
092,2174,82837
092,31715,83681
106,69892,12943
491,85132,69325
543,12142,81994
543,5497,80292
092,75017,61490
858,53206,11842
106,78330,8285
092,35554,27404
186,65711,4639
245,1635,8062
245,10900,38292
092,81831,4684
245,74747,10616
106,66068,8514
638,72830,10006
092,63213,14285
245,73355,56991
245,78439,63695
092,10269,84692
092,62772,11557
092,14888,75804
208,84352,939
