applicationId,municipality,time,filling-time,applicationId,municipality,permitType,state,operation,operationId2,operationId2,createdDate,submittedDate,sentDate,verdictGiven,canceledDate,isCancelled,lon,lat
LP-153-2016-00248,153,78324,162,LP-153-2016-00248,153,YA,submitted,ya-sijoituslupa-sahko-data-ja-muiden-kaapelien-sijoittaminen,,,ya-sijoituslupa-sahko-data-ja-muiden-kaapelien-sijoittaminen,2016-09-10 13:45:45.109000,2016-09-10 13:49:23.438000,,,,false,28.86827
LP-837-2016-01908,837,69601,8124,LP-837-2016-01908,837,R,submitted,linjasaneeraus,linjasaneeraus,linjasaneeraus,linjasaneeraus,linjasaneeraus,2016-09-12 12:38:39.276000,2016-09-12 14:55:49.557000,,,,false,23.81504
LP-444-2016-00849,444,59811,92,LP-444-2016-00849,444,R,submitted,masto-tms,,,masto-tms,2016-08-03 10:05:53.509000,2016-09-13 11:51:19.797000,,,,false,23.95012
LP-257-2016-00523,257,50992,82964,LP-257-2016-00523,257,R,submitted,varasto-tms,,,varasto-tms,2016-09-08 18:08:58.259000,2016-09-12 15:23:33.232000,,,,false,24.41422
LP-837-2016-01915,837,705,1537,LP-837-2016-01915,837,R,submitted,maalampo,,,maalampo,2016-09-13 09:47:43.462000,2016-09-13 10:14:22.570000,,,,false,23.94265
LP-837-2016-01916,837,82226,2294,LP-837-2016-01916,837,R,submitted,raktyo-aloit-loppuunsaat,,,raktyo-aloit-loppuunsaat,2016-09-13 10:12:14.494000,2016-09-13 10:57:30.205000,,,,false,23.68337
LP-837-2016-01893,837,82362,2840,LP-837-2016-01893,837,R,sent,auto-katos,,,auto-katos,2016-09-09 11:30:38.701000,2016-09-09 12:21:31.849000,2016-09-13 07:56:43.631000,,,false,23.80069
LP-444-2016-00522,444,17114,101,LP-444-2016-00522,444,R,submitted,masto-tms,,,masto-tms,2016-05-16 12:36:37.189000,2016-09-12 12:22:21.305000,,,,false,23.88867
LP-858-2016-00188,858,60380,447,LP-858-2016-00188,858,R,submitted,auto-katos,,,auto-katos,2016-04-05 19:38:17.184000,2016-09-12 18:52:59.922000,,,,false,24.96228
LP-092-2016-04225,092,69975,439,LP-092-2016-04225,092,R,submitted,maalampo,,,maalampo,2016-08-16 07:52:08.683000,2016-09-13 10:54:16.852000,,,,false,24.88668
LP-837-2016-01896,837,63236,80366,LP-837-2016-01896,837,R,submitted,sisatila-muutos,,,sisatila-muutos,2016-09-09 18:25:28.068000,2016-09-12 16:48:55.084000,,,,false,23.77118
LP-858-2016-00534,858,75632,2861,LP-858-2016-00534,858,R,submitted,pientalo,varasto-tms,varasto-tms,pientalo,varasto-tms,2016-06-21 08:37:47.338000,2016-09-13 13:40:13.322000,,,,false,25.08303
LP-245-2016-00773,245,78284,7065,LP-245-2016-00773,245,R,submitted,parveke-tai-terassi,,,parveke-tai-terassi,2016-08-12 09:54:20.520000,2016-09-09 15:39:58.920000,,,,false,25.10454
LP-444-2016-00873,444,83486,120,LP-444-2016-00873,444,R,submitted,masto-tms,,,masto-tms,2016-08-04 12:21:24.708000,2016-09-13 11:41:22.739000,,,,false,23.97563
LP-491-2016-01587,491,70115,1747,LP-491-2016-01587,491,R,submitted,auto-katos,,,auto-katos,2016-09-09 12:40:33.565000,2016-09-09 13:11:18.750000,,,,false,27.24559
LP-092-2016-04653,092,11220,86,LP-092-2016-04653,092,R,submitted,pientalo,,,pientalo,2016-09-06 07:28:14.478000,2016-09-09 11:02:32.359000,,,,false,25.00916
LP-837-2016-01883,837,73424,828,LP-837-2016-01883,837,R,submitted,parveke-tai-terassi,,,parveke-tai-terassi,2016-09-08 16:10:57.599000,2016-09-09 14:03:25.394000,,,,false,23.76819
LP-186-2016-00491,186,64570,2440,LP-186-2016-00491,186,R,submitted,pientalo-laaj,,,pientalo-laaj,2016-04-27 09:06:01.662000,2016-09-12 13:03:49.683000,,,,false,25.15071
LP-895-2016-00138,895,61500,247,LP-895-2016-00138,895,R,submitted,varasto-tms,auto-katos,auto-katos,varasto-tms,auto-katos,2016-09-06 19:20:19.937000,2016-09-09 17:53:27.879000,,,,false,21.38549
