applicationId,municipality,time,filling-time
LP-186-2016-00848,186,20225,211
LP-837-2016-00833,837,82385,6041
LP-092-2015-02283,092,3776,13579
LP-092-2015-01269,092,67900,8134
LP-092-2015-02285,092,73170,20411
LP-444-2015-00718,444,61324,42626
LP-444-2015-00717,444,8407,84117
LP-106-2015-01147,106,63818,28525
LP-092-2015-01261,092,3832,12511
LP-092-2015-01266,092,69117,13915
LP-092-2016-00673,092,68488,10863
LP-092-2016-00076,092,58650,82756
LP-186-2016-00990,186,1126,1256
LP-186-2016-00588,186,52522,5619
LP-092-2015-02604,092,13968,52630
LP-444-2015-00376,444,84190,720
LP-444-2015-00377,444,82206,1203
LP-444-2015-00372,444,68082,84828
LP-186-2016-00999,186,42987,900
LP-444-2016-00724,444,22415,2758
LP-444-2016-00725,444,18621,5031
LP-092-2016-01079,092,57669,14643
LP-444-2016-00598,444,60083,78608
LP-092-2015-02842,092,75241,345
LP-444-2016-00592,444,84651,1586
LP-444-2016-00591,444,63244,11719
LP-444-2016-00590,444,63309,14057
LP-444-2016-00596,444,81218,1761
LP-092-2015-02849,092,7174,71601
LP-444-2016-00594,444,68839,33551
LP-092-2016-01658,092,3635,1221
LP-444-2015-00003,444,76547,3949
LP-092-2016-00703,092,77407,2141
LP-092-2016-00702,092,64726,2971
LP-444-2015-00004,444,6208,1566
LP-092-2016-03501,092,60732,9035
LP-092-2016-01650,092,7422,5947
LP-092-2016-01651,092,12128,4574
LP-444-2015-00008,444,16180,4471
LP-092-2015-01002,092,72237,77382
LP-092-2016-03508,092,72037,24995
LP-092-2015-01468,092,86015,44075
LP-837-2016-01078,837,69015,1973
LP-092-2015-02116,092,69341,10995
LP-092-2015-02119,092,85140,68521
LP-837-2016-01077,837,62019,27404
LP-092-2015-01467,092,57648,65515
LP-837-2016-01070,837,71472,76168
LP-837-2016-01073,837,71083,85170
LP-092-2015-00223,092,76877,13488
LP-092-2015-02282,092,72143,23342
LP-837-2016-00208,837,20509,49246
LP-092-2016-01253,092,51461,32336
LP-444-2016-00203,444,73808,5305
LP-444-2016-00202,444,24661,63579
LP-444-2016-00201,444,64600,7568
LP-092-2016-02296,092,85114,84625
LP-837-2016-00201,837,15078,76504
LP-444-2016-00206,444,67066,77255
LP-837-2016-00203,837,56429,25033
LP-092-2016-03438,092,29156,77901
LP-092-2016-03439,092,30857,73228
LP-092-2015-01487,092,66885,1884
LP-092-2016-02125,092,83486,65258
LP-092-2016-02129,092,40226,648
LP-444-2015-00650,444,67346,2848
LP-106-2016-00818,106,56268,18818
LP-092-2015-00738,092,9880,74189
LP-092-2015-00735,092,991,83974
LP-092-2015-00732,092,78145,59980
LP-106-2016-00815,106,66053,5617
LP-092-2015-00029,092,47462,10786
LP-837-2016-01102,837,76981,13370
LP-444-2016-00119,444,65789,690
LP-444-2016-00118,444,73456,690
LP-837-2016-01109,837,47342,13603
LP-092-2016-01493,092,20416,70378
LP-444-2016-00115,444,79970,697
LP-444-2016-00114,444,63457,1060
LP-092-2015-00027,092,801,70885
LP-837-2016-00511,837,77081,938
LP-837-2016-00510,837,45594,1289
LP-186-2016-00337,186,65579,376
LP-837-2016-00517,837,16214,1613
LP-837-2016-01484,837,35076,49138
LP-837-2016-00518,837,85403,2885
LP-186-2016-00338,186,59173,3624
LP-106-2015-00439,106,3645,8479
LP-837-2015-00185,837,63274,25436
LP-444-2015-00275,444,13942,234
LP-837-2015-00187,837,60252,18500
LP-837-2015-00180,837,57891,5121
LP-092-2015-01730,092,65023,7324
LP-837-2016-00675,837,61351,21668
LP-837-2016-00282,837,63703,645
LP-092-2015-01735,092,53418,5215
LP-092-2015-01737,092,70064,79738
LP-106-2016-00109,106,925,69780
LP-092-2015-00354,092,6973,44820
LP-106-2016-00106,106,1148,1050
LP-092-2015-01898,092,32516,39082
LP-106-2015-00098,106,17954,73697
LP-106-2015-00729,106,10793,1099
LP-444-2016-00577,444,81851,1083
LP-444-2016-00576,444,3234,80420
LP-106-2015-00090,106,70397,3506
LP-092-2015-00286,092,62681,28653
LP-106-2015-00093,106,78933,2773
LP-106-2015-00094,106,11691,2509
LP-106-2015-00095,106,71250,82152
LP-106-2015-00097,106,14178,3306
LP-837-2016-00478,837,70842,4951
LP-092-2016-02634,092,70271,9610
LP-444-2016-00376,444,43073,17641
LP-186-2016-00059,186,79550,2949
LP-444-2015-00375,444,84917,3265
LP-837-2016-00471,837,70937,79340
LP-837-2016-00476,837,83911,6086
LP-837-2016-00477,837,464,904
LP-837-2016-00474,837,76638,14940
LP-186-2016-00050,186,10184,1831
LP-837-2016-01818,837,76626,896
LP-092-2016-00172,092,71809,80892
LP-837-2016-01815,837,73055,3989
LP-837-2016-01813,837,81621,7350
LP-106-2016-00610,106,13428,647
LP-092-2016-00170,092,83424,846
LP-106-2015-00945,106,43012,1361
LP-106-2015-00949,106,7024,11785
LP-186-2015-01013,186,47632,80357
LP-837-2016-00983,837,7608,85074
LP-186-2016-00406,186,13510,1223
LP-092-2016-03175,092,9378,6074
LP-186-2015-01302,186,69194,75337
LP-186-2015-01301,186,69912,1360
LP-444-2015-00362,444,81982,85914
LP-092-2015-01856,092,82728,3910
LP-106-2015-00898,106,11069,73357
LP-444-2016-00800,444,45,18267
LP-444-2016-00805,444,17999,1748
LP-106-2014-00243,106,66003,18863
LP-444-2016-00809,444,10031,5560
LP-092-2016-00688,092,12620,16659
LP-186-2015-00309,186,56363,6250
LP-837-2016-00692,837,6845,67242
LP-837-2016-00691,837,79595,84983
LP-106-2016-00635,106,17181,68337
LP-837-2016-00854,837,3455,4533
LP-186-2014-00253,186,79957,49481
LP-837-2016-00856,837,84284,1083
LP-837-2016-00852,837,4639,58825
LP-837-2016-00853,837,59108,1951
LP-837-2016-00750,837,84325,2573
LP-106-2014-00089,106,7504,51998
LP-837-2016-00858,837,8540,76131
LP-186-2016-00518,186,80991,4408
LP-092-2016-02918,092,15766,73122
LP-837-2016-00564,837,69856,8878
LP-092-2016-03242,092,76097,1561
LP-092-2016-03249,092,53039,9425
LP-092-2015-01335,092,1919,6217
LP-186-2014-00196,186,57917,1154
LP-186-2014-00197,186,82573,12398
LP-186-2014-00191,186,2328,68946
LP-186-2014-00199,186,1419,83068
LP-186-2016-00545,186,76779,2462
LP-092-2015-01336,092,7741,5290
LP-092-2016-03083,092,70608,14364
LP-186-2014-00511,186,74591,23319
LP-092-2016-03219,092,51296,35002
LP-186-2014-00516,186,73352,1519
LP-186-2016-01013,186,19475,1412
LP-092-2015-02476,092,75554,71486
LP-444-2016-00302,444,51122,29268
LP-092-2015-02474,092,68060,14082
LP-092-2015-02475,092,72227,1697
LP-092-2015-02472,092,82462,81199
LP-092-2015-02473,092,77466,86103
LP-092-2015-02471,092,75104,2673
LP-186-2014-00283,186,61257,1322
LP-186-2014-00284,186,14243,1572
LP-444-2016-00300,444,4819,361
LP-444-2016-00595,444,67890,2319
LP-106-2015-00522,106,18545,1799
LP-444-2016-00306,444,857,553
LP-444-2015-00002,444,81498,75581
LP-092-2016-03394,092,11319,4215
LP-186-2014-00353,186,11906,57079
LP-092-2016-04160,092,10982,3535
LP-092-2016-03399,092,395,82944
LP-837-2016-01246,837,3389,65228
LP-837-2016-01247,837,82537,79903
LP-837-2016-01244,837,83045,79244
LP-837-2016-01245,837,57340,4494
LP-837-2016-01242,837,62719,2536
LP-092-2015-01008,092,66714,75324
LP-837-2016-01240,837,4882,2492
LP-186-2015-00692,186,25637,61730
LP-837-2016-01442,837,82062,4982
LP-837-2016-01248,837,67874,2203
LP-837-2016-00076,837,4161,921
LP-092-2015-01006,092,59549,82465
LP-837-2016-00072,837,54142,15577
LP-444-2015-00495,444,10660,79934
LP-444-2015-00146,444,78996,731
LP-444-2015-00491,444,83893,80869
LP-444-2015-00490,444,11519,80740
LP-444-2015-00141,444,57550,31114
LP-444-2015-00140,444,15481,46375
LP-092-2015-02078,092,77002,7651
