applicationId,municipality,time,filling-time
LP-224-2015-00003,224,14785,42634
LP-091-2015-00280,091,62628,9193
LP-908-2015-00312,908,24768,83308
LP-092-2016-00573,092,76219,21380
LP-543-2016-00075,543,33797,2392
LP-092-2015-02285,092,73170,20411
LP-153-2015-00044,153,69089,16789
LP-106-2015-01147,106,63818,28525
LP-092-2015-01261,092,3832,12511
LP-092-2015-01266,092,69117,13915
LP-245-2016-00154,245,66905,58861
LP-837-2015-00151,837,57331,1932
LP-092-2015-01898,092,32516,39082
LP-153-2015-00038,153,37766,55582
LP-837-2015-00093,837,2154,76612
LP-908-2015-00088,908,59321,85487
LP-908-2015-00080,908,4435,84233
LP-186-2015-00908,186,86033,3629
LP-858-2016-00090,858,80060,2071
LP-858-2015-00147,858,5139,59584
LP-444-2015-00002,444,81498,75581
LP-444-2015-00003,444,76547,3949
LP-186-2015-00223,186,49281,44461
LP-491-2014-00546,491,61337,19297
LP-543-2015-00163,543,6864,80349
LP-092-2015-01467,092,57648,65515
LP-092-2015-01309,092,59552,13582
LP-543-2015-00169,543,1482,80152
LP-235-2016-00043,235,80578,11691
LP-837-2015-00102,837,68768,8622
LP-491-2016-00191,491,76552,68668
LP-092-2015-01487,092,66885,1884
LP-732-2015-00062,732,53586,32742
LP-186-2015-00126,186,86175,62119
LP-092-2015-00735,092,991,83974
LP-186-2015-00083,186,78474,8560
LP-092-2015-00732,092,78145,59980
LP-092-2015-00141,092,81240,62169
LP-092-2015-00029,092,47462,10786
LP-092-2016-00579,092,82333,74968
LP-092-2015-00144,092,44354,7478
LP-422-2015-00007,422,19724,49764
LP-092-2015-00023,092,81155,6388
LP-092-2015-00924,092,81712,68146
LP-444-2015-00893,444,17416,3994
LP-257-2015-00035,257,32746,39324
LP-536-2015-00066,536,79579,13870
LP-257-2016-00100,257,86252,75908
LP-257-2016-00101,257,4420,68746
LP-536-2015-00060,536,77501,60413
LP-092-2015-01630,092,72505,78409
LP-753-2015-00005,753,5468,48844
LP-092-2015-01730,092,65023,7324
LP-186-2015-00011,186,3865,57436
LP-186-2015-00408,186,59071,31503
LP-092-2015-01735,092,53418,5215
LP-092-2015-01737,092,70064,79738
LP-908-2015-00034,908,60634,17307
LP-245-2015-00168,245,5323,2361
LP-908-2015-00032,908,79367,7774
LP-092-2015-00851,092,15390,40204
LP-092-2015-01145,092,59711,49445
LP-092-2015-00323,092,3162,37278
LP-092-2015-00286,092,62681,28653
LP-106-2015-00093,106,78933,2773
LP-092-2015-00282,092,20326,2515
LP-753-2015-00346,753,2557,47505
LP-106-2015-00643,106,1288,77848
LP-092-2015-02434,092,14612,80519
LP-092-2015-01915,092,8426,845
LP-092-2015-00510,092,2331,72800
LP-208-2015-00172,208,3543,56495
LP-020-2016-00004,020,82982,13648
LP-092-2014-00163,092,56101,28954
LP-444-2015-00180,444,6241,53925
LP-245-2016-00129,245,71879,10561
LP-245-2016-00125,245,43421,1389
LP-092-2016-00532,092,14668,62705
LP-858-2015-00056,858,67436,68176
LP-245-2016-00121,245,83283,2172
LP-837-2015-00054,837,38085,11559
LP-092-2015-00780,092,14235,41552
LP-837-2015-00052,837,55444,32473
LP-734-2015-00179,734,65645,72038
LP-092-2016-00401,092,13191,68674
LP-092-2015-02335,092,38222,12779
LP-092-2016-00033,092,42234,32965
LP-092-2015-02231,092,84085,65180
LP-536-2016-00031,536,58008,20772
LP-478-2015-00006,478,72708,6950
LP-092-2015-00391,092,64536,6448
LP-092-2015-01852,092,2407,68603
LP-208-2015-00484,208,24391,84318
LP-491-2015-01114,491,73127,75593
LP-790-2015-00081,790,43647,2907
LP-543-2016-00007,543,85382,63907
LP-753-2015-00159,753,81411,26031
LP-186-2015-01082,186,86364,12347
LP-092-2015-00392,092,4067,73297
LP-543-2016-00003,543,43591,45168
LP-297-2016-00005,297,69558,72666
LP-444-2015-00825,444,53738,27849
LP-444-2015-00049,444,49766,35532
LP-092-2015-01354,092,2174,82837
LP-092-2015-01036,092,31715,83681
LP-106-2015-01185,106,69892,12943
LP-491-2015-00391,491,85132,69325
LP-543-2015-00127,543,12142,81994
LP-543-2015-00128,543,5497,80292
LP-092-2015-00885,092,75017,61490
LP-858-2015-00453,858,53206,11842
LP-106-2015-00042,106,78330,8285
LP-092-2015-00889,092,35554,27404
LP-186-2016-00172,186,65711,4639
LP-245-2015-00024,245,1635,8062
LP-245-2015-00027,245,10900,38292
LP-092-2015-00781,092,81831,4684
LP-245-2015-00021,245,74747,10616
LP-106-2015-00721,106,66068,8514
LP-638-2015-00222,638,72830,10006
LP-092-2015-02220,092,63213,14285
LP-245-2015-00342,245,73355,56991
LP-245-2015-00343,245,78439,63695
LP-092-2015-01597,092,10269,84692
LP-092-2015-01458,092,62772,11557
LP-092-2015-00102,092,14888,75804
LP-208-2015-00027,208,84352,939
LP-753-2016-00006,753,4154,43481
LP-106-2015-00296,106,64906,19452
LP-092-2015-01679,092,82245,76851
LP-092-2015-01575,092,86248,78923
LP-092-2015-01772,092,83260,8718
LP-638-2015-00088,638,55727,11862
LP-092-2016-00406,092,67592,73970
LP-638-2015-00084,638,78277,2127
LP-092-2015-00312,092,22024,76400
LP-106-2015-00198,106,63449,5591
LP-491-2015-00890,491,4924,84141
LP-092-2015-00817,092,74008,84838
LP-208-2016-00031,208,3841,73501
LP-092-2015-00813,092,7318,4963
LP-858-2016-00032,858,6609,10089
LP-536-2015-00010,536,55025,3863
LP-858-2015-00304,858,70329,5896
LP-092-2015-01959,092,83519,81077
LP-186-2015-00692,186,25637,61730
LP-092-2015-00798,092,12363,43971
LP-245-2015-00151,245,44825,6820
LP-208-2015-00032,208,81192,11043
LP-092-2015-00220,092,68350,2486
LP-092-2015-00223,092,76877,13488
LP-092-2015-00556,092,60739,83707
LP-208-2015-00132,208,2984,63356
LP-092-2015-00229,092,53397,76609
LP-092-2015-00228,092,62126,4295
LP-491-2015-00002,491,68756,16530
LP-491-2015-00003,491,49449,15928
LP-153-2015-00122,153,8345,1574
LP-444-2015-00141,444,57550,31114
LP-092-2015-00495,092,73191,11250
LP-092-2015-00250,092,56267,22738
LP-092-2016-00281,092,63938,7274
LP-106-2015-00342,106,7611,86261
LP-092-2015-00258,092,4270,10413
LP-092-2015-00259,092,79176,79673
LP-106-2015-00228,106,16688,55877
LP-092-2016-00840,092,69351,7534
LP-224-2015-00036,224,36538,17725
LP-224-2015-00031,224,79639,979
LP-208-2015-00148,208,70447,7228
LP-224-2015-00039,224,83887,74583
LP-224-2015-00038,224,83948,74710
LP-536-2016-00078,536,5904,6001
LP-543-2016-00046,543,85757,77799
LP-092-2015-00614,092,51286,14876
LP-245-2014-00086,245,57706,18115
LP-092-2016-00061,092,41329,31418
LP-092-2016-00062,092,82155,70277
LP-092-2016-00063,092,1618,77158
LP-092-2015-01880,092,82343,70638
LP-257-2015-00073,257,2287,85420
LP-908-2015-00096,908,8633,80740
LP-858-2015-00275,858,72049,84943
LP-092-2015-02991,092,77510,56385
LP-444-2015-00818,444,11580,75788
LP-092-2015-02852,092,1554,84167
LP-734-2015-00062,734,21484,64620
LP-092-2016-00277,092,75079,3125
LP-092-2015-00089,092,51981,5455
LP-092-2016-00718,092,5782,4451
LP-297-2016-00041,297,5191,76784
LP-297-2016-00040,297,75626,28010
LP-297-2016-00044,297,75037,17906
LP-543-2015-00079,543,76908,86383
LP-543-2015-00078,543,4988,76671
LP-543-2015-00174,543,84653,57140
LP-092-2015-00260,092,58741,85660
LP-732-2016-00017,732,9170,3849
LP-422-2015-00085,422,759,79191
LP-106-2015-00019,106,5413,7391
LP-491-2015-00699,491,73667,11945
LP-092-2015-01531,092,51534,24278
LP-106-2015-00270,106,12358,50140
LP-245-2015-00377,245,7345,82265
LP-858-2015-00058,858,5633,6790
LP-092-2015-01102,092,5190,69393
LP-858-2015-00112,858,63383,82056
LP-208-2015-00242,208,70258,12694
LP-092-2015-00043,092,76793,11071
LP-092-2015-00042,092,45935,1371
LP-858-2015-00051,858,83217,25926
LP-858-2015-00052,858,53076,81605
LP-092-2015-00046,092,12351,42544
LP-092-2015-00135,092,65247,82649
LP-092-2015-00137,092,83141,81198
LP-734-2016-00024,734,46914,32074
LP-092-2015-00133,092,71400,2250
LP-186-2015-01043,186,85162,84858
LP-092-2015-00032,092,86110,1334
LP-092-2015-00916,092,76959,10510
LP-257-2016-00133,257,57493,4642
LP-106-2015-00156,106,78422,51069
LP-186-2015-00416,186,69438,19013
