applicationId,municipality,filling-time,operation,start_month,time-to-verdict,attachment-count
LP-186-2016-00480,186,599270.256,pientalo,4,2375173.445,60
LP-092-2015-00260,092,1468060.292,pientalo,3,4519259.303,31
LP-092-2016-00573,092,1230980.024,pientalo,2,4179646.786,34
LP-092-2015-01260,092,3552445.682,pientalo,7,4867665.961,51
LP-092-2015-02285,092,452411.436,pientalo,11,13069651.146,56
LP-106-2015-01147,106,5039725.637,pientalo,11,4244433.286,47
LP-092-2015-01261,092,12511.453,pientalo,7,7208862.976,39
LP-092-2015-01266,092,4506715.028,pientalo,7,7039156.18,41
LP-092-2016-00673,092,7527663.291,pientalo,2,7471945.743,37
LP-837-2015-00151,837,693132.108,pientalo,11,6840720.888,43
LP-092-2016-01173,092,5563264.363,pientalo,3,9736464.654,43
LP-491-2016-00876,491,851006.86,pientalo,6,1002225.418,33
LP-092-2016-02822,092,508507.15,pientalo,5,7910041.905,47
LP-092-2016-00688,092,14359059.9,pientalo,2,3326523.665,39
LP-186-2015-00908,186,3459629.195,pientalo,9,2374953.663,65
LP-186-2015-00223,186,562861.249,pientalo,4,2432031.042,49
LP-092-2015-01004,092,4907207.903,pientalo,6,4804573.132,103
LP-092-2016-02198,092,119633.528,pientalo,5,4865701.46,83
LP-106-2016-00024,106,83273.384,pientalo,1,14719998.4,13
LP-491-2014-00546,491,451297.471,pientalo,12,2969932.824,47
LP-837-2016-00954,837,3378394.851,pientalo,4,8074196.215,20
LP-092-2015-01467,092,2830315.71,pientalo,8,7283288.854,63
LP-092-2015-01309,092,1136782.735,pientalo,7,5900855.286,56
LP-837-2016-00208,837,1863646.231,pientalo,2,6276548.101,47
LP-092-2016-01253,092,2797136.153,pientalo,3,5641647.713,42
LP-092-2016-02296,092,1985425.69,pientalo,5,2042145.112,39
LP-092-2016-00803,092,2310035.963,pientalo,2,5567758.029,32
LP-491-2016-00191,491,587068.853,pientalo,2,3576761.149,35
LP-092-2016-02125,092,3262058.878,pientalo,4,3076059.709,44
LP-186-2015-00536,186,27138385.978,pientalo,6,2689510.826,39
LP-092-2016-02129,092,1815048.567,pientalo,4,3036368.817,46
LP-186-2015-00531,186,6619482.186,pientalo,6,2478757.602,54
LP-186-2015-00126,186,5246119.787,pientalo,3,2375552.859,56
LP-092-2015-00735,092,602374.6,pientalo,7,10667327.565,81
LP-186-2015-00083,186,699760.755,pientalo,2,2984290.011,69
LP-092-2015-00732,092,3083980.905,pientalo,5,5130759.666,20
LP-092-2015-00141,092,62169.421,pientalo,2,6607349.888,23
LP-092-2015-00029,092,1220386.483,pientalo,1,2950838.476,25
LP-092-2016-00579,092,74968.178,pientalo,2,6450403.629,46
LP-092-2015-00144,092,4845878.478,pientalo,2,5275264.414,34
LP-092-2015-00023,092,1993588.444,pientalo,1,20077559.912,51
LP-092-2015-00924,092,8103346.501,pientalo,6,3399353.768,24
LP-106-2016-00713,106,2399860.897,pientalo,6,5064545.302,7
LP-491-2015-00909,491,28495732.408,pientalo,8,914516.976,90
LP-491-2015-00900,491,22496139.939,pientalo,8,1480026.722,64
LP-491-2015-00903,491,27819863.459,pientalo,8,986178.962,68
LP-491-2015-00902,491,21074051.164,pientalo,8,7732054.947,50
LP-491-2015-00904,491,28864611.95,pientalo,8,4174970.766,49
LP-491-2015-00907,491,22102264.038,pientalo,8,2469785.835,81
LP-491-2015-00906,491,24032013.15,pientalo,8,540121.781,66
LP-186-2015-00195,186,4891787.026,pientalo,3,1176028.128,49
LP-092-2015-01730,092,3549724.536,pientalo,9,5736097.901,34
LP-092-2015-01638,092,17650404.307,pientalo,9,5036949.903,73
LP-186-2015-00408,186,7893903.795,pientalo,5,3574188.982,34
LP-092-2015-01735,092,350815.552,pientalo,9,4258777.498,56
LP-092-2015-01737,092,4831738.328,pientalo,9,4692297.989,41
LP-092-2016-03850,092,1128.77,pientalo,7,2288441.389,23
LP-491-2015-00356,491,1903114.642,pientalo,4,1771595.693,32
LP-106-2015-00480,106,549961.787,pientalo,6,5108722.416,44
LP-092-2015-00323,092,2370078.766,pientalo,3,5498678.785,58
LP-092-2016-00257,092,6476306.273,pientalo,1,5652038.824,78
LP-092-2015-00286,092,13161453.77,pientalo,3,8833215.63,27
LP-092-2016-03298,092,3328.758,pientalo,6,3847074.238,31
LP-106-2015-00488,106,3813336.412,pientalo,6,2374678.723,66
LP-092-2015-00282,092,2515.663,pientalo,3,6536864.311,34
LP-092-2016-03486,092,1207829.806,pientalo,6,5324020.201,41
LP-106-2015-00643,106,1028248.627,pientalo,7,2720080.91,59
LP-186-2016-00058,186,2403097.01,pientalo,1,4461102.192,50
LP-092-2015-02434,092,1808519.218,pientalo,11,6703856.663,62
LP-092-2015-01915,092,951245.032,pientalo,10,15339553.172,56
LP-092-2015-00510,092,6034400.974,pientalo,4,4292230.494,26
LP-491-2015-00885,491,18493546.542,pientalo,8,1855526.688,77
LP-092-2014-00163,092,2620954.969,pientalo,12,4774373.87,32
LP-092-2016-00437,092,794359.58,pientalo,2,5405009.011,55
LP-186-2015-01390,186,15006088.76,pientalo,12,1615852.311,41
LP-092-2014-00169,092,8104189.272,pientalo,12,5754105.175,51
LP-491-2015-00887,491,26296447.443,pientalo,8,1915241.731,78
LP-092-2016-00532,092,3864305.779,pientalo,2,4107804.044,59
LP-837-2015-00054,837,184359.979,pientalo,10,5271306.16,26
LP-837-2015-00052,837,378073.994,pientalo,10,6319035.89,61
LP-491-2016-01111,491,3646399.367,pientalo,7,1235302.579,25
LP-186-2015-01302,186,6641737.704,pientalo,11,3499278.437,93
LP-092-2016-00401,092,241474.849,pientalo,2,6450999.038,43
LP-092-2016-00406,092,1542770.697,pientalo,2,6349452.812,80
LP-092-2016-00033,092,378565.293,pientalo,1,7182504.473,30
LP-092-2016-01134,092,3240846.255,pientalo,3,6103346.911,31
LP-106-2015-00892,106,1052690.142,pientalo,9,2535245.773,75
LP-092-2015-00391,092,92848.692,pientalo,3,7202447.97,24
LP-092-2015-01852,092,7239803.493,pientalo,9,3504997.344,54
LP-092-2016-01030,092,2923524.127,pientalo,3,4806666.686,68
LP-491-2015-01114,491,13294793.856,pientalo,10,7212139.22,56
LP-092-2016-01292,092,5796157.734,pientalo,3,7473950.053,91
LP-092-2016-03032,092,5164495.346,pientalo,6,2886164.939,16
LP-186-2015-01082,186,12347.823,pientalo,10,1851838.359,52
LP-092-2015-00392,092,1887697.229,pientalo,3,4974717.475,22
LP-092-2016-00748,092,1652000.572,pientalo,2,2968450.149,48
LP-092-2016-02317,092,2345711.383,pientalo,5,1149553.37,35
LP-092-2015-01354,092,6476437.891,pientalo,7,7990326.204,88
LP-106-2015-01185,106,12943.908,pientalo,11,3059503.182,84
LP-186-2015-01158,186,8996890.52,pientalo,10,2704222.251,53
LP-491-2015-00258,491,4041835.6,pientalo,4,1501188.554,65
LP-092-2015-00885,092,21661490.499,pientalo,5,6008213.027,62
LP-092-2015-00886,092,8723596.278,pientalo,5,4376143.682,30
LP-106-2015-00042,106,8285.271,pientalo,2,4194603.545,19
LP-092-2015-00889,092,200204.336,pientalo,5,6316958.125,35
LP-092-2015-00780,092,905552.008,pientalo,5,9300698.078,43
LP-092-2015-00781,092,4684.753,pientalo,5,2906789.957,29
LP-837-2015-00102,837,181422.826,pientalo,11,7355263.771,30
LP-491-2016-00390,491,4837586.001,pientalo,3,1001876.352,47
LP-837-2016-01026,837,6402.901,pientalo,5,5041832.286,30
LP-491-2016-00129,491,119180.315,pientalo,2,1049631.45,41
LP-092-2016-01349,092,5359452.554,pientalo,3,3843488.367,37
LP-092-2015-01458,092,529957.141,pientalo,8,4013895.194,31
LP-092-2015-00102,092,2149404.326,pientalo,2,4549314.017,38
LP-092-2016-01956,092,493432.365,pientalo,4,3908795.265,73
LP-186-2016-00274,186,3042281.074,pientalo,3,3495747.829,44
LP-092-2016-01951,092,1985827.401,pientalo,4,3124627.431,43
LP-491-2015-00535,491,1115157.671,pientalo,5,1090976.21,43
LP-106-2016-00638,106,4122974.446,pientalo,5,5050028.002,61
LP-837-2016-00507,837,156889.314,pientalo,3,5050886.774,29
LP-106-2015-00296,106,4339452.191,pientalo,5,1226649.748,81
LP-837-2016-00432,837,4350411.14,pientalo,3,5713971.964,25
LP-092-2015-01575,092,2325323.634,pientalo,8,3671854.265,40
LP-186-2015-00116,186,15713522.248,pientalo,3,809046.427,67
LP-491-2015-00391,491,414925.613,pientalo,5,1598447.104,79
LP-092-2015-01772,092,1045518.333,pientalo,9,3847872.599,49
LP-491-2016-00269,491,5895202.617,pientalo,3,621192.02,46
LP-092-2015-00312,092,3014000.243,pientalo,3,10168041.907,55
LP-491-2015-00549,491,2854235.048,pientalo,5,4073570.213,46
LP-092-2016-02036,092,105087.368,pientalo,4,4071575.345,61
LP-106-2015-00198,106,5591.342,pientalo,4,4350731.697,52
LP-491-2015-00890,491,13821741.395,pientalo,8,6526437.384,49
LP-092-2015-00817,092,1208038.325,pientalo,5,7560813.409,32
LP-106-2016-00447,106,2086590.733,pientalo,4,3236717.886,57
LP-092-2015-00813,092,4963.95,pientalo,5,1783000.154,30
LP-092-2016-03399,092,1378944.595,pientalo,6,4199341.582,54
LP-092-2015-00589,092,850625.908,pientalo,4,5814090.007,28
LP-186-2015-00285,186,7545106.198,pientalo,4,8145161.18,342
LP-092-2015-02686,092,314.633,pientalo,12,4257432.199,10
LP-092-2015-01959,092,167477.291,pientalo,10,1689165.203,24
LP-092-2015-00797,092,425.843,pientalo,5,1325692.398,0
LP-186-2015-00692,186,148130.588,pientalo,7,4199202.911,43
LP-092-2015-00798,092,1080771.324,pientalo,5,11457011.321,61
LP-837-2016-00172,837,4517684.616,pientalo,2,6083021.525,23
LP-092-2015-00220,092,2486.708,pientalo,2,6782837.097,43
LP-092-2015-00223,092,13488.687,pientalo,2,1501158.309,23
LP-092-2015-00556,092,2330107.127,pientalo,4,3553455.411,20
LP-092-2015-00227,092,2451818.981,pientalo,2,4939285.485,26
LP-092-2015-00229,092,1891009.464,pientalo,3,4944015.974,14
LP-092-2015-00228,092,4295.867,pientalo,2,9106604.794,38
LP-491-2015-00002,491,4941330.77,pientalo,1,2363384.707,70
LP-491-2015-00003,491,3990328.647,pientalo,1,1406717.328,41
LP-106-2016-00653,106,2251890.154,pientalo,5,1224421.633,56
LP-092-2015-00495,092,1134450.232,pientalo,4,9029080.346,42
LP-092-2015-00250,092,19808338.988,pientalo,2,5551658.073,45
LP-092-2016-00281,092,2253674.487,pientalo,1,6322944.65,46
LP-106-2015-01239,106,9161776.163,pientalo,12,1943204.965,72
LP-106-2015-00342,106,86261.507,pientalo,5,14746677.217,28
LP-092-2015-00258,092,2429613.869,pientalo,3,5748992.343,38
LP-092-2015-00259,092,338873.246,pientalo,3,5667729.167,17
LP-837-2016-00728,837,3810180.35,pientalo,4,8567522.532,37
LP-837-2016-00480,837,4925430.789,pientalo,3,6609355.305,37
LP-092-2016-03508,092,197795.239,pientalo,6,4528062.247,23
LP-106-2015-00228,106,3684677.151,pientalo,4,2555209.771,25
LP-092-2016-00840,092,698734.782,pientalo,2,7816554.28,65
LP-186-2015-00456,186,9043537.702,pientalo,5,473130.26,57
LP-092-2015-02701,092,4843355.883,pientalo,12,3664939.606,23
LP-092-2016-02404,092,510624.591,pientalo,5,2994627.929,48
LP-837-2016-00898,837,414377.166,pientalo,4,5410977.447,41
LP-092-2016-01399,092,1569778.294,pientalo,3,4340675.819,43
LP-186-2016-00283,186,4082137.834,pientalo,3,10816042.354,59
LP-186-2015-01128,186,12845536.265,pientalo,10,1264359.203,44
LP-092-2016-00665,092,2494621.454,pientalo,2,1842397.083,27
LP-092-2016-00061,092,981818.991,pientalo,1,3809243.48,61
LP-092-2016-00062,092,761477.55,pientalo,1,7312058.057,34
LP-092-2016-00063,092,1027558.373,pientalo,1,8601365.128,70
LP-092-2016-01166,092,2752186.22,pientalo,3,4009401.81,64
LP-092-2015-01880,092,9747438.633,pientalo,9,3242936.24,37
LP-186-2015-00622,186,1722.348,pientalo,6,12141363.107,55
LP-092-2015-02991,092,6622785.659,pientalo,12,7223793.411,177
LP-186-2016-00231,186,4582481.077,pientalo,3,2382140.422,36
LP-092-2015-02852,092,6132167.108,pientalo,12,6369962.043,36
LP-092-2016-03368,092,3044383.068,pientalo,6,2366003.886,40
LP-186-2016-00172,186,609439.237,pientalo,2,4247331.406,90
LP-106-2015-00147,106,9516339.184,pientalo,4,2025333.207,78
LP-092-2015-00089,092,1733455.64,pientalo,2,8147712.994,33
LP-092-2016-00718,092,90851.337,pientalo,2,7128085.046,54
LP-186-2015-01223,186,12918917.196,pientalo,11,5326064.019,82
LP-092-2016-02885,092,612802.49,pientalo,5,8513617.337,28
LP-186-2016-00468,186,2061156.179,pientalo,4,2458710.964,45
LP-092-2016-02610,092,614479.625,pientalo,5,3481602.67,32
LP-092-2016-01305,092,3465620.862,pientalo,3,4692847.641,120
LP-837-2016-00862,837,3979078.389,pientalo,4,7710778.579,24
LP-186-2016-00588,186,524019.648,pientalo,5,4496278.34,34
LP-837-2016-00216,837,3618846.3,pientalo,2,5063915.21,25
LP-092-2016-03041,092,121218.341,pientalo,6,6065166.36,28
LP-837-2016-01171,837,1106194.43,pientalo,5,8155590.722,22
LP-106-2015-00019,106,698591.075,pientalo,1,5571627.112,52
LP-491-2015-00699,491,11945.141,pientalo,7,7375762.669,24
LP-092-2015-01531,092,24278.25,pientalo,8,5212241.484,40
LP-186-2015-00489,186,170180.771,pientalo,5,3498812.482,90
LP-092-2015-01102,092,1278993.021,pientalo,6,27257449.279,60
LP-106-2016-00804,106,411.542,pientalo,6,1075761.745,5
LP-092-2015-00043,092,2171071.811,pientalo,1,9544499.734,37
LP-092-2015-00042,092,433371.115,pientalo,1,5462033.823,24
LP-092-2015-00046,092,2634544.947,pientalo,1,4896289.302,21
LP-837-2016-01112,837,169939.377,pientalo,5,9050701.492,31
LP-092-2015-00137,092,2500398.789,pientalo,2,8941177.106,21
LP-092-2015-01036,092,2330081.38,pientalo,6,1909513.259,26
LP-092-2015-00133,092,2939850.37,pientalo,2,2716945.928,19
LP-092-2015-02646,092,743370.776,pientalo,11,4971450.92,39
LP-092-2015-00032,092,1038134.972,pientalo,1,5325348.937,28
LP-092-2015-00916,092,788110.702,pientalo,6,5825224.535,29
LP-491-2015-00913,491,22178703.236,pientalo,8,1182635.401,38
LP-491-2015-00911,491,24191522.045,pientalo,8,2193973.752,58
LP-092-2016-02033,092,1626038.564,pientalo,4,3593960.749,22
LP-106-2015-00156,106,915069.32,pientalo,4,3931614.186,43
LP-186-2015-00416,186,3043013.045,pientalo,5,3917984.902,52
LP-092-2015-01621,092,9866.661,pientalo,9,7038987.052,29
LP-186-2015-00799,186,3671955.739,pientalo,8,1746763.485,41
LP-186-2016-00049,186,5924651.729,pientalo,1,3591113.829,44
LP-092-2015-01747,092,184387.267,pientalo,9,15244462.673,109
LP-092-2015-01746,092,165456.103,pientalo,9,15244523.072,140
LP-092-2015-00614,092,360476.093,pientalo,4,9098616.588,53
LP-837-2016-00138,837,79008.938,pientalo,1,6693381.85,31
LP-092-2015-00264,092,3262825.444,pientalo,3,5497448.65,38
LP-092-2015-00267,092,339587.094,pientalo,3,8141780.719,43
LP-092-2015-00349,092,3453.646,pientalo,3,7207056.222,19
LP-092-2015-00618,092,2500147.535,pientalo,4,5736552.08,105
LP-092-2015-00619,092,3492.348,pientalo,4,6619021.952,16
LP-837-2016-00135,837,2715.338,pientalo,1,6169587.654,42
LP-106-2015-00787,106,850573.035,pientalo,8,4350394.289,35
LP-186-2015-00092,186,2673312.505,pientalo,2,1152259.188,58
LP-186-2015-00094,186,3029959.532,pientalo,2,795048.075,52
LP-106-2015-00717,106,4497822.646,pientalo,8,657398.804,60
LP-106-2015-00711,106,443421.156,pientalo,8,3154738.435,79
LP-491-2015-01202,491,90620.997,pientalo,11,1085445.862,28
LP-491-2016-00661,491,2129746.519,pientalo,5,1860353.266,21
LP-106-2016-00183,106,10728802.682,pientalo,2,5397901.03,102
LP-092-2014-00144,092,3483614.781,pientalo,12,6595003.964,29
LP-092-2016-00320,092,78304.844,pientalo,1,9119811.782,57
LP-092-2016-00325,092,1362875.224,pientalo,1,5410156.246,64
LP-092-2015-00665,092,1999066.875,pientalo,4,7813588.228,38
LP-837-2016-00005,837,1130712.516,pientalo,1,9642922.101,70
LP-837-2016-00999,837,2213300.409,pientalo,5,7572251.331,35
LP-092-2015-00505,092,2846225.653,pientalo,4,9260042.874,59
LP-092-2014-00174,092,5150.884,pientalo,12,7887385.844,32
LP-092-2014-00175,092,6631.122,pientalo,12,8996473.911,34
LP-106-2015-00975,106,866260.764,pientalo,10,1165454.332,57
LP-106-2016-00604,106,2073219.474,pientalo,5,2733977.273,43
LP-491-2015-00039,491,12784622.731,pientalo,1,2176506.092,52
LP-186-2015-01362,186,3610469.704,pientalo,12,1264684.872,108
LP-491-2015-00892,491,28405954.001,pientalo,8,2223602.827,42
LP-491-2015-00737,491,180830.409,pientalo,7,4591002.343,49
LP-092-2015-02124,092,13274951.062,pientalo,10,3255582.426,25
LP-106-2015-00270,106,136540.954,pientalo,5,2035827.242,66
LP-106-2016-00696,106,2151977.546,pientalo,6,4259979.44,53
LP-106-2015-00578,106,254079.394,pientalo,7,5748735.65,59
LP-092-2016-00183,092,255335.25,pientalo,1,3338809.94,33
LP-092-2015-01847,092,2232402.23,pientalo,9,5319871.731,50
LP-092-2015-01844,092,1570373.269,pientalo,9,4441325.561,41
LP-186-2015-00747,186,8063351.966,pientalo,7,1492859.336,47
LP-092-2015-00770,092,691570.24,pientalo,5,7470270.113,24
LP-491-2015-00899,491,26537384.327,pientalo,8,4091642.839,60
LP-092-2016-02362,092,182613.355,pientalo,5,2979586.651,42
LP-186-2015-00995,186,107269.235,pientalo,9,5733683.05,49
LP-092-2015-01365,092,2156595.368,pientalo,8,4972279.318,108
LP-491-2016-00657,491,2676.622,pientalo,5,2898373.038,18
