applicationId,municipality,timeToVerdict,filling-time,operation,start_month,1,2,3,4,5,6,7,8,9,10,11,12
LP-092-2014-00123,092,13.9533645945,7.94307271728,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-837-2016-01089,837,13.7184455393,7.18235211189,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2016-00322,091,15.7935393369,12.391933764,maalampo,1,1,0,0,0,0,0,0,0,0,0,0,0
LP-091-2015-00326,091,14.518343678,7.73805229769,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2016-00038,091,15.3981768882,14.4036915895,maalampo,1,1,0,0,0,0,0,0,0,0,0,0,0
LP-837-2015-00157,837,13.5037543483,6.92264389148,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-837-2015-00154,837,14.6432983283,15.9926819633,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-092-2015-02604,092,13.6198921891,13.2551970267,maalampo,11,0,0,0,0,0,0,0,0,0,0,1,0
LP-092-2016-01177,092,14.3963822584,13.1557730081,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-091-2016-03836,091,14.7470839134,14.4582766595,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-106-2015-00138,106,14.7141980581,7.04838640872,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2016-01300,091,14.9949772248,6.91572344863,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-091-2015-00130,091,14.7839978362,7.21303165983,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-091-2016-03193,091,14.8449778207,8.6397647438,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-01415,092,15.5649220426,7.1115121165,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-092-2015-02113,092,12.1778377665,10.1024203751,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-092-2015-02112,092,12.2733340188,9.16020430248,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-092-2015-01461,092,13.6145002493,7.59990195921,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-092-2016-02292,092,13.2626955919,7.29912146271,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2015-00141,091,13.9804934993,11.3836592492,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-01137,092,13.8063840377,7.25700270709,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2016-03991,091,15.2468693418,7.41216033495,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2016-02274,091,14.2777516364,13.1679121033,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2016-02275,091,14.5621913964,6.59850902861,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2016-01551,092,14.1714275147,5.69709348651,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2015-00325,091,15.3053150238,13.349422453,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2016-02774,091,14.1764949031,7.06646697014,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2016-03359,091,14.7552158177,7.13807303404,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-837-2016-00511,837,14.2348095353,6.84374994901,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-106-2015-00004,106,15.4888036331,6.74641212857,maalampo,1,1,0,0,0,0,0,0,0,0,0,0,0
LP-092-2016-00084,092,13.227002633,7.89469085043,maalampo,1,1,0,0,0,0,0,0,0,0,0,0,0
LP-092-2015-01732,092,12.8565889048,7.13169851047,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-837-2015-00188,837,14.7039839504,10.0735256422,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-186-2016-00119,186,14.6857280315,11.2653227113,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2016-03333,091,14.1627305443,6.98100574072,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-00321,092,11.8554081739,12.7427794436,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-091-2015-06838,091,14.3912128332,15.4563674831,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-092-2015-00285,092,13.5341100485,12.4353692281,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2016-04631,092,13.2375082696,11.3239176046,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
