applicationId,municipality,time,timeToVerdict,filling-time
LP-186-2016-00480,186,1681,79351,80870
LP-092-2015-00260,092,58741,70431,85660
LP-444-2016-00934,444,57537,0,16295
LP-186-2016-00489,186,9,0,22579
LP-092-2016-02317,092,71669,1448,12911
LP-092-2016-00573,092,76219,14104,21380
LP-092-2015-02285,092,73170,79145,20411
LP-092-2016-01084,092,77523,0,7150
LP-106-2015-01147,106,63818,8375,28525
LP-092-2015-01261,092,3832,13401,12511
LP-092-2015-01266,092,69117,8042,13915
LP-092-2016-00673,092,68488,85706,10863
LP-837-2015-00151,837,57331,74116,1932
LP-092-2015-01898,092,32516,0,39082
LP-837-2016-01188,837,83462,12544,82511
LP-092-2016-01173,092,86211,49003,33664
LP-092-2016-03112,092,55024,0,30498
LP-092-2016-02822,092,2229,2798,76507
LP-092-2016-00688,092,12620,27734,16659
LP-092-2016-01079,092,57669,0,14643
LP-186-2015-00908,186,86033,8623,3629
LP-092-2016-04553,092,61293,0,19593
LP-092-2016-03506,092,23147,0,5908
LP-444-2015-00003,444,76547,81388,3949
LP-186-2015-00223,186,49281,8100,44461
LP-092-2016-01651,092,12128,0,4574
LP-092-2016-02198,092,68417,59671,33233
LP-837-2016-00954,837,713,79261,8794
LP-092-2015-01467,092,57648,47580,65515
LP-092-2015-01309,092,59552,77848,13582
LP-837-2016-01171,837,81875,51632,69394
LP-092-2016-01253,092,51461,3544,32336
LP-092-2016-02296,092,85114,83188,84625
LP-837-2016-00203,837,56429,0,25033
LP-092-2016-00803,092,69144,63397,63635
LP-092-2015-01487,092,66885,0,1884
LP-092-2016-02125,092,83486,59149,65258
LP-092-2016-02129,092,40226,66813,648
LP-186-2015-00531,186,84104,63208,53082
LP-186-2015-00126,186,86175,63482,62119
LP-092-2015-00735,092,991,12577,83974
LP-186-2015-00083,186,78474,10274,8560
LP-092-2015-00732,092,78145,56732,59980
LP-092-2015-00141,092,81240,64248,62169
LP-092-2015-00029,092,47462,64934,10786
LP-092-2016-00579,092,82333,84104,74968
LP-092-2015-00144,092,44354,72895,7478
LP-092-2015-00023,092,81155,75577,6388
LP-092-2015-00924,092,81712,61052,68146
